x,m,v_x,v_y
3.062660455703735352e+00,1.100538134574890137e+00,1.757820701599121094e+01,1.474819278717041016e+01
2.582078933715820312e+00,1.198712706565856934e+00,3.118024253845214844e+01,2.523950386047363281e+01
3.277879476547241211e+00,1.198712706565856934e+00,1.139698219299316406e+01,9.475201606750488281e+00
1.468974351882934570e+00,1.296887516975402832e+00,9.871356964111328125e+01,9.101876831054687500e+01
2.066311836242675781e+00,1.296887516975402832e+00,5.148898315429687500e+01,4.311818695068359375e+01
2.698827505111694336e+00,1.296887516975402832e+00,2.779276847839355469e+01,2.265822219848632812e+01
3.236340522766113281e+00,1.296887516975402832e+00,1.322519874572753906e+01,1.132604598999023438e+01
9.060605764389038086e-01,1.395061492919921875e+00,2.418822937011718750e+02,2.612554931640625000e+02
1.200511217117309570e+00,1.395061492919921875e+00,1.417117309570312500e+02,1.397440338134765625e+02
1.608375072479248047e+00,1.395061492919921875e+00,8.637079620361328125e+01,7.806748199462890625e+01
2.071384191513061523e+00,1.395061492919921875e+00,5.116609954833984375e+01,4.280012130737304688e+01
2.423235893249511719e+00,1.395061492919921875e+00,3.623213577270507812e+01,2.931189537048339844e+01
2.711259841918945312e+00,1.395061492919921875e+00,2.743310356140136719e+01,2.238420486450195312e+01
2.910858631134033203e+00,1.395061492919921875e+00,2.033172988891601562e+01,1.673396873474121094e+01
3.033252954483032227e+00,1.395061492919921875e+00,1.825893974304199219e+01,1.524106502532958984e+01
3.107775688171386719e+00,1.395061492919921875e+00,1.575306701660156250e+01,1.333590984344482422e+01
3.138150691986083984e+00,1.395061492919921875e+00,1.581223392486572266e+01,1.348412513732910156e+01
3.140685558319091797e+00,1.395061492919921875e+00,1.574763584136962891e+01,1.343488311767578125e+01
3.129096746444702148e+00,1.395061492919921875e+00,1.601926040649414062e+01,1.363952541351318359e+01
3.100756168365478516e+00,1.395061492919921875e+00,1.564225196838378906e+01,1.321982097625732422e+01
3.058138608932495117e+00,1.395061492919921875e+00,1.765460968017578125e+01,1.480464458465576172e+01
2.998383760452270508e+00,1.395061492919921875e+00,1.793215370178222656e+01,1.487684059143066406e+01
2.935885429382324219e+00,1.395061492919921875e+00,2.069493293762207031e+01,1.707021331787109375e+01
2.856372833251953125e+00,1.395061492919921875e+00,2.287691307067871094e+01,1.879776763916015625e+01
2.760152339935302734e+00,1.395061492919921875e+00,2.576403999328613281e+01,2.110484123229980469e+01
7.366830706596374512e-01,1.493236899375915527e+00,3.585761413574218750e+02,4.172007446289062500e+02
9.615980386734008789e-01,1.493236899375915527e+00,2.248655242919921875e+02,2.406581878662109375e+02
1.225180625915527344e+00,1.493236899375915527e+00,1.296706237792968750e+02,1.272382202148437500e+02
1.459123849868774414e+00,1.493236899375915527e+00,9.944428253173828125e+01,9.181510925292968750e+01
1.677534818649291992e+00,1.493236899375915527e+00,7.984693145751953125e+01,7.139947509765625000e+01
1.851398229598999023e+00,1.493236899375915527e+00,6.478506469726562500e+01,5.607932662963867188e+01
1.990233659744262695e+00,1.493236899375915527e+00,5.587057113647460938e+01,4.735877609252929688e+01
2.073720455169677734e+00,1.493236899375915527e+00,5.098645019531250000e+01,4.262013244628906250e+01
2.111764430999755859e+00,1.493236899375915527e+00,4.905197143554687500e+01,4.081908035278320312e+01
2.114946603775024414e+00,1.493236899375915527e+00,4.888912200927734375e+01,4.067127227783203125e+01
2.097174882888793945e+00,1.493236899375915527e+00,4.931600189208984375e+01,4.111088943481445312e+01
2.069634437561035156e+00,1.493236899375915527e+00,5.117574310302734375e+01,4.279838180541992188e+01
2.028066873550415039e+00,1.493236899375915527e+00,5.356964874267578125e+01,4.509681320190429688e+01
1.964118123054504395e+00,1.493236899375915527e+00,5.736963272094726562e+01,4.879844284057617188e+01
5.898631811141967773e-01,1.591411471366882324e+00,5.190775756835937500e+02,6.147005615234375000e+02
9.216931462287902832e-01,1.591411471366882324e+00,2.380120697021484375e+02,2.569689941406250000e+02
1.038542985916137695e+00,1.591411471366882324e+00,1.996190643310546875e+02,2.066698455810546875e+02
1.116226911544799805e+00,1.591411471366882324e+00,1.659363403320312500e+02,1.680328521728515625e+02
1.169605255126953125e+00,1.591411471366882324e+00,1.454324645996093750e+02,1.444290008544921875e+02
1.189297914505004883e+00,1.591411471366882324e+00,1.426890563964843750e+02,1.408489532470703125e+02
3.274840354919433594e+00,2.039458751678466797e+00,1.150235080718994141e+01,9.583792686462402344e+00
2.944340705871582031e+00,2.039458751678466797e+00,2.048897171020507812e+01,1.690925598144531250e+01
2.677034378051757812e+00,2.039458751678466797e+00,2.834796524047851562e+01,2.308030128479003906e+01
2.669852972030639648e+00,2.039458751678466797e+00,2.855851936340332031e+01,2.324050903320312500e+01
3.254379272460937500e+00,2.221390724182128906e+00,1.266512584686279297e+01,1.077041721343994141e+01
2.822506904602050781e+00,2.221390724182128906e+00,2.260182952880859375e+01,1.855098915100097656e+01
2.407448291778564453e+00,2.221390724182128906e+00,3.689163589477539062e+01,2.988447952270507812e+01
2.066344976425170898e+00,2.221390724182128906e+00,5.151749420166015625e+01,4.314986038208007812e+01
1.769092082977294922e+00,2.221390724182128906e+00,7.156690216064453125e+01,6.297957229614257812e+01
1.684986352920532227e+00,2.221390724182128906e+00,7.921873474121093750e+01,7.077017974853515625e+01
3.338244676589965820e+00,2.403322935104370117e+00,9.574749946594238281e+00,7.875156879425048828e+00
2.972673416137695312e+00,2.403322935104370117e+00,1.982648658752441406e+01,1.639685821533203125e+01
2.542324304580688477e+00,2.403322935104370117e+00,3.237036132812500000e+01,2.616744613647460938e+01
2.159229516983032227e+00,2.403322935104370117e+00,4.409918212890625000e+01,3.656484603881835938e+01
1.767316579818725586e+00,2.403322935104370117e+00,7.177108001708984375e+01,6.319369506835937500e+01
1.441053748130798340e+00,2.403322935104370117e+00,9.394650268554687500e+01,8.720240020751953125e+01
1.206885457038879395e+00,2.403322935104370117e+00,1.410193023681640625e+02,1.389536895751953125e+02
1.084194660186767578e+00,2.403322935104370117e+00,1.632845764160156250e+02,1.668012542724609375e+02
3.241882562637329102e+00,2.585253715515136719e+00,1.307962322235107422e+01,1.118783664703369141e+01
2.817991733551025391e+00,2.585253715515136719e+00,2.243312263488769531e+01,1.840902328491210938e+01
2.404775619506835938e+00,2.585253715515136719e+00,3.669926071166992188e+01,2.973788070678710938e+01
2.038372755050659180e+00,2.585253715515136719e+00,5.315451049804687500e+01,4.472462081909179688e+01
1.661355853080749512e+00,2.585253715515136719e+00,7.988656616210937500e+01,7.165379333496093750e+01
1.348520755767822266e+00,2.585253715515136719e+00,1.025516967773437500e+02,9.656307220458984375e+01
1.103262662887573242e+00,2.585253715515136719e+00,1.704526824951171875e+02,1.735941925048828125e+02
9.079678058624267578e-01,2.585253715515136719e+00,2.423090209960937500e+02,2.618989562988281250e+02
