x,m,v_x,v_y
6.193835258483886719e+00,1.296887516975402832e+00,4.729772090911865234e+00,3.462645053863525391e+00
8.237209320068359375e+00,1.296887516975402832e+00,1.725026249885559082e+00,1.369184732437133789e+00
3.305369853973388672e+00,1.395061492919921875e+00,1.742000961303710938e+01,1.387188243865966797e+01
5.075757026672363281e+00,1.395061492919921875e+00,7.543003559112548828e+00,5.613921165466308594e+00
6.878277778625488281e+00,1.395061492919921875e+00,3.548654317855834961e+00,2.601945877075195312e+00
8.720703125000000000e+00,1.395061492919921875e+00,1.164975881576538086e+00,9.988350868225097656e-01
2.228817701339721680e+00,1.493236899375915527e+00,3.623245239257812500e+01,3.189598846435546875e+01
3.511375427246093750e+00,1.493236899375915527e+00,1.594015693664550781e+01,1.256791973114013672e+01
5.131718635559082031e+00,1.493236899375915527e+00,7.365754127502441406e+00,5.490272045135498047e+00
6.655370712280273438e+00,1.493236899375915527e+00,3.886110782623291016e+00,2.835162878036499023e+00
7.739546298980712891e+00,1.493236899375915527e+00,2.344360589981079102e+00,1.776615500450134277e+00
2.142320156097412109e+00,1.591411471366882324e+00,3.780982208251953125e+01,3.333487701416015625e+01
4.120903968811035156e+00,1.591411471366882324e+00,1.162044334411621094e+01,8.830157279968261719e+00
4.723814964294433594e+00,1.591411471366882324e+00,8.770829200744628906e+00,6.617111206054687500e+00
5.130175590515136719e+00,1.591411471366882324e+00,7.370135784149169922e+00,5.493729591369628906e+00
5.326416015625000000e+00,1.591411471366882324e+00,6.780840396881103516e+00,5.009692192077636719e+00
5.596035003662109375e+00,1.591411471366882324e+00,6.056430339813232422e+00,4.465004444122314453e+00
6.038559913635253906e+00,1.591411471366882324e+00,5.047452926635742188e+00,3.694199323654174805e+00
8.119441986083984375e+00,1.588294386863708496e+00,1.873715281486511230e+00,1.467798948287963867e+00
7.316368103027343750e+00,1.588294386863708496e+00,2.904343605041503906e+00,2.150762081146240234e+00
6.589113235473632812e+00,1.588294386863708496e+00,4.007280826568603516e+00,2.926659107208251953e+00
6.234261512756347656e+00,1.588294386863708496e+00,4.642244338989257812e+00,3.391776800155639648e+00
