x,m,v_x,v_y
5.563610076904296875e+00,1.100538134574890137e+00,2.626692056655883789e+00,2.618621349334716797e+00
4.760409355163574219e+00,1.198712706565856934e+00,6.634243965148925781e+00,5.580769062042236328e+00
2.618176698684692383e+00,1.296887516975402832e+00,3.061459159851074219e+01,2.464718437194824219e+01
3.760271072387695312e+00,1.296887516975402832e+00,1.384732246398925781e+01,1.081818866729736328e+01
5.067114830017089844e+00,1.296887516975402832e+00,5.077545166015625000e+00,4.386168956756591797e+00
1.455322861671447754e+00,1.395061492919921875e+00,6.942125701904296875e+01,6.339195251464843750e+01
2.107207775115966797e+00,1.395061492919921875e+00,4.709088134765625000e+01,3.999652099609375000e+01
2.930573463439941406e+00,1.395061492919921875e+00,2.419318771362304688e+01,1.884893798828125000e+01
3.892633438110351562e+00,1.395061492919921875e+00,1.269386959075927734e+01,9.922994613647460938e+00
4.691069602966308594e+00,1.395061492919921875e+00,7.038176536560058594e+00,5.867319107055664062e+00
5.372443199157714844e+00,1.395061492919921875e+00,3.649671316146850586e+00,3.449105501174926758e+00
5.764481067657470703e+00,1.395061492919921875e+00,1.498443961143493652e+00,1.575702309608459473e+00
5.744399070739746094e+00,1.395061492919921875e+00,7.586190104484558105e-01,7.086637616157531738e-01
5.752972126007080078e+00,1.395061492919921875e+00,1.533827424049377441e+00,1.608726739883422852e+00
1.085775971412658691e+00,1.493236899375915527e+00,1.465155639648437500e+02,1.452182922363281250e+02
1.575126409530639648e+00,1.493236899375915527e+00,6.229265213012695312e+01,5.627344512939453125e+01
2.175562381744384766e+00,1.493236899375915527e+00,4.433864212036132812e+01,3.747919464111328125e+01
2.762265920639038086e+00,1.493236899375915527e+00,2.742805862426757812e+01,2.173797607421875000e+01
3.279382705688476562e+00,1.493236899375915527e+00,1.895418167114257812e+01,1.488708209991455078e+01
3.664314746856689453e+00,1.493236899375915527e+00,1.469796466827392578e+01,1.145712947845458984e+01
3.926064968109130859e+00,1.493236899375915527e+00,1.242681694030761719e+01,9.733296394348144531e+00
4.080935478210449219e+00,1.493236899375915527e+00,1.124675273895263672e+01,8.794370651245117188e+00
4.151217937469482422e+00,1.493236899375915527e+00,1.074251461029052734e+01,8.421027183532714844e+00
4.160766601562500000e+00,1.493236899375915527e+00,1.068045330047607422e+01,8.383167266845703125e+00
4.137022972106933594e+00,1.493236899375915527e+00,1.081946563720703125e+01,8.463117599487304688e+00
4.106549263000488281e+00,1.493236899375915527e+00,1.106658077239990234e+01,8.663836479187011719e+00
4.050652503967285156e+00,1.493236899375915527e+00,1.143689250946044922e+01,8.925538063049316406e+00
3.966145515441894531e+00,1.493236899375915527e+00,1.207804489135742188e+01,9.437737464904785156e+00
7.713029980659484863e-01,1.591411471366882324e+00,2.361926422119140625e+02,2.560648803710937500e+02
1.064429521560668945e+00,1.591411471366882324e+00,1.388577270507812500e+02,1.379388427734375000e+02
1.460156083106994629e+00,1.591411471366882324e+00,7.044644927978515625e+01,6.403533935546875000e+01
1.752284049987792969e+00,1.591411471366882324e+00,6.610166168212890625e+01,5.881374740600585938e+01
1.924399256706237793e+00,1.591411471366882324e+00,5.596487045288085938e+01,4.881412506103515625e+01
2.056925058364868164e+00,1.591411471366882324e+00,4.914334487915039062e+01,4.183646392822265625e+01
2.127480745315551758e+00,1.591411471366882324e+00,4.627956390380859375e+01,3.927718353271484375e+01
2.210574626922607422e+00,1.591411471366882324e+00,4.299934768676757812e+01,3.620216751098632812e+01
2.381334543228149414e+00,1.591411471366882324e+00,3.714711761474609375e+01,3.074024200439453125e+01
5.805042266845703125e+00,1.746362924575805664e+00,2.176786959171295166e-01,2.071751505136489868e-01
5.431846618652343750e+00,1.746362924575805664e+00,3.313653945922851562e+00,3.184376239776611328e+00
4.852744102478027344e+00,1.746362924575805664e+00,6.112973213195800781e+00,5.139605045318603516e+00
4.535354614257812500e+00,1.746362924575805664e+00,8.007891654968261719e+00,6.539070129394531250e+00
