x,m,v_x,v_y
5.746837615966796875e+00,8.060152530670166016e-01,3.593014240264892578e+00,3.060295343399047852e+00
6.216177940368652344e+00,8.060152530670166016e-01,1.766130566596984863e+00,1.745440483093261719e+00
4.139431476593017578e+00,9.041898846626281738e-01,1.252379035949707031e+01,9.285195350646972656e+00
4.763845443725585938e+00,9.041898846626281738e-01,8.192565917968750000e+00,6.273416996002197266e+00
5.424673080444335938e+00,9.041898846626281738e-01,4.850172042846679688e+00,3.949370384216308594e+00
5.930496692657470703e+00,9.041898846626281738e-01,2.857426643371582031e+00,2.556900024414062500e+00
6.319730281829833984e+00,9.041898846626281738e-01,1.213783860206604004e+00,1.237075328826904297e+00
6.355306148529052734e+00,9.041898846626281738e-01,7.770214676856994629e-01,7.709599137306213379e-01
6.299485683441162109e+00,9.041898846626281738e-01,1.368198871612548828e+00,1.402701616287231445e+00
6.188563823699951172e+00,9.041898846626281738e-01,1.836662292480468750e+00,1.800366759300231934e+00
6.074994087219238281e+00,9.041898846626281738e-01,2.300864219665527344e+00,2.148034572601318359e+00
5.989618301391601562e+00,9.041898846626281738e-01,2.668718814849853516e+00,2.428609848022460938e+00
5.919016361236572266e+00,9.041898846626281738e-01,2.913313150405883789e+00,2.597838640213012695e+00
5.866788864135742188e+00,9.041898846626281738e-01,3.145338296890258789e+00,2.760105848312377930e+00
5.838394165039062500e+00,9.041898846626281738e-01,3.206839084625244141e+00,2.792415142059326172e+00
5.830566883087158203e+00,9.041898846626281738e-01,3.229072570800781250e+00,2.812522172927856445e+00
5.814949989318847656e+00,9.041898846626281738e-01,3.307780265808105469e+00,2.868887186050415039e+00
5.734552860260009766e+00,9.041898846626281738e-01,3.617355585098266602e+00,3.070920944213867188e+00
2.991759777069091797e+00,1.002363920211791992e+00,2.719077110290527344e+01,2.084379768371582031e+01
3.490023374557495117e+00,1.002363920211791992e+00,1.901893043518066406e+01,1.410708236694335938e+01
4.064743995666503906e+00,1.002363920211791992e+00,1.312407398223876953e+01,9.730268478393554688e+00
4.532285213470458984e+00,1.002363920211791992e+00,9.680597305297851562e+00,7.324115276336669922e+00
4.898867130279541016e+00,1.002363920211791992e+00,7.483455657958984375e+00,5.769878387451171875e+00
5.169049739837646484e+00,1.002363920211791992e+00,6.115056991577148438e+00,4.831694126129150391e+00
5.347655773162841797e+00,1.002363920211791992e+00,5.210688114166259766e+00,4.212812423706054688e+00
5.446454048156738281e+00,1.002363920211791992e+00,4.779533386230468750e+00,3.893260717391967773e+00
5.492671966552734375e+00,1.002363920211791992e+00,4.583689212799072266e+00,3.757448673248291016e+00
5.491039276123046875e+00,1.002363920211791992e+00,4.592320919036865234e+00,3.763992309570312500e+00
5.449928760528564453e+00,1.002363920211791992e+00,4.770526409149169922e+00,3.887617349624633789e+00
5.381275177001953125e+00,1.002363920211791992e+00,5.098983764648437500e+00,4.135276794433593750e+00
5.288430690765380859e+00,1.002363920211791992e+00,5.557910919189453125e+00,4.469747543334960938e+00
5.170290946960449219e+00,1.002363920211791992e+00,6.110929012298583984e+00,4.829108238220214844e+00
5.048387527465820312e+00,1.002363920211791992e+00,6.683202743530273438e+00,5.221312999725341797e+00
4.916948795318603516e+00,1.002363920211791992e+00,7.399161338806152344e+00,5.713488101959228516e+00
4.789161682128906250e+00,1.002363920211791992e+00,8.034129142761230469e+00,6.154023647308349609e+00
4.675405979156494141e+00,1.002363920211791992e+00,8.747719764709472656e+00,6.694577693939208984e+00
4.566175460815429688e+00,1.002363920211791992e+00,9.451930999755859375e+00,7.169821739196777344e+00
4.471807479858398438e+00,1.002363920211791992e+00,1.010730934143066406e+01,7.608712196350097656e+00
4.394188880920410156e+00,1.002363920211791992e+00,1.064266967773437500e+01,7.958111286163330078e+00
4.332885742187500000e+00,1.002363920211791992e+00,1.106126213073730469e+01,8.220733642578125000e+00
4.299503326416015625e+00,1.002363920211791992e+00,1.132424736022949219e+01,8.417901992797851562e+00
4.283313751220703125e+00,1.002363920211791992e+00,1.145136833190917969e+01,8.515374183654785156e+00
4.264105796813964844e+00,1.002363920211791992e+00,1.158320617675781250e+01,8.607101440429687500e+00
4.217364788055419922e+00,1.002363920211791992e+00,1.192558288574218750e+01,8.845055580139160156e+00
4.205064773559570312e+00,1.002363920211791992e+00,1.203022575378417969e+01,8.926362037658691406e+00
1.793041944503784180e+00,1.100538134574890137e+00,7.525634765625000000e+01,6.580945587158203125e+01
2.120692491531372070e+00,1.100538134574890137e+00,5.617542648315429688e+01,4.677589035034179688e+01
2.588279485702514648e+00,1.100538134574890137e+00,3.710073089599609375e+01,2.969353675842285156e+01
2.984762191772460938e+00,1.100538134574890137e+00,2.732905387878417969e+01,2.097034263610839844e+01
3.324174404144287109e+00,1.100538134574890137e+00,2.131048393249511719e+01,1.587125110626220703e+01
3.579531431198120117e+00,1.100538134574890137e+00,1.791491699218750000e+01,1.333654880523681641e+01
3.784929752349853516e+00,1.100538134574890137e+00,1.568287181854248047e+01,1.172634410858154297e+01
3.905589580535888672e+00,1.100538134574890137e+00,1.451989555358886719e+01,1.076817989349365234e+01
3.975378036499023438e+00,1.100538134574890137e+00,1.390098094940185547e+01,1.032233238220214844e+01
3.986717700958251953e+00,1.100538134574890137e+00,1.378925609588623047e+01,1.021553134918212891e+01
3.959131479263305664e+00,1.100538134574890137e+00,1.406179523468017578e+01,1.046308326721191406e+01
3.892174243927001953e+00,1.100538134574890137e+00,1.465460395812988281e+01,1.089901351928710938e+01
3.808821678161621094e+00,1.100538134574890137e+00,1.544139194488525391e+01,1.151942253112792969e+01
3.713843345642089844e+00,1.100538134574890137e+00,1.641391372680664062e+01,1.228531455993652344e+01
3.610202312469482422e+00,1.100538134574890137e+00,1.756100654602050781e+01,1.313150882720947266e+01
3.509970188140869141e+00,1.100538134574890137e+00,1.877549552917480469e+01,1.399083995819091797e+01
3.421998023986816406e+00,1.100538134574890137e+00,1.992700576782226562e+01,1.484076213836669922e+01
3.347526311874389648e+00,1.100538134574890137e+00,2.097794914245605469e+01,1.569253158569335938e+01
3.278182506561279297e+00,1.100538134574890137e+00,2.202140045166015625e+01,1.654832649230957031e+01
3.219681739807128906e+00,1.100538134574890137e+00,2.294876861572265625e+01,1.730161857604980469e+01
3.166676998138427734e+00,1.100538134574890137e+00,2.367670631408691406e+01,1.783215522766113281e+01
3.136031389236450195e+00,1.100538134574890137e+00,2.438300514221191406e+01,1.850542640686035156e+01
3.105639934539794922e+00,1.100538134574890137e+00,2.494562911987304688e+01,1.895420646667480469e+01
3.069984436035156250e+00,1.100538134574890137e+00,2.560470008850097656e+01,1.951816749572753906e+01
2.997065305709838867e+00,1.100538134574890137e+00,2.706626129150390625e+01,2.072025299072265625e+01
