x,m,v_x,v_y
5.778568267822265625e+00,9.041898846626281738e-01,9.886537551879882812e+00,9.348618507385253906e+00
6.890197753906250000e+00,9.041898846626281738e-01,6.446472167968750000e+00,5.926613330841064453e+00
8.206509590148925781e+00,9.041898846626281738e-01,3.534583806991577148e+00,3.329356431961059570e+00
4.121931076049804688e+00,1.002363920211791992e+00,1.942339324951171875e+01,1.989683914184570312e+01
4.992270946502685547e+00,1.002363920211791992e+00,1.342696094512939453e+01,1.309758853912353516e+01
6.011909961700439453e+00,1.002363920211791992e+00,9.048337936401367188e+00,8.484610557556152344e+00
6.944070339202880859e+00,1.002363920211791992e+00,6.357192993164062500e+00,5.870934963226318359e+00
7.719452857971191406e+00,1.002363920211791992e+00,4.532688617706298828e+00,4.228374958038330078e+00
9.152574539184570312e+00,1.002363920211791992e+00,1.514421224594116211e+00,1.523712635040283203e+00
9.345721244812011719e+00,1.002363920211791992e+00,9.999504685401916504e-01,1.041225671768188477e+00
9.336386680603027344e+00,1.002363920211791992e+00,9.861736893653869629e-01,9.976897239685058594e-01
8.232346534729003906e+00,1.002363920211791992e+00,3.458916902542114258e+00,3.250566959381103516e+00
8.108545303344726562e+00,1.002363920211791992e+00,3.724175453186035156e+00,3.487355232238769531e+00
8.007441520690917969e+00,1.002363920211791992e+00,3.912531137466430664e+00,3.640032529830932617e+00
7.950810432434082031e+00,1.002363920211791992e+00,4.059753417968750000e+00,3.795870065689086914e+00
7.914319992065429688e+00,1.002363920211791992e+00,4.091236114501953125e+00,3.793234586715698242e+00
7.897612571716308594e+00,1.002363920211791992e+00,4.116184711456298828e+00,3.820871353149414062e+00
7.858735561370849609e+00,1.002363920211791992e+00,4.239348888397216797e+00,3.950755596160888672e+00
7.780146598815917969e+00,1.002363920211791992e+00,4.405254364013671875e+00,4.106111049652099609e+00
7.785126686096191406e+00,1.002363920211791992e+00,4.398971557617187500e+00,4.104368686676025391e+00
2.443928241729736328e+00,1.100538134574890137e+00,4.941185760498046875e+01,5.940302658081054688e+01
2.947075843811035156e+00,1.100538134574890137e+00,3.546501922607421875e+01,3.989126586914062500e+01
3.658907413482666016e+00,1.100538134574890137e+00,2.420603752136230469e+01,2.554696464538574219e+01
4.372685432434082031e+00,1.100538134574890137e+00,1.738836860656738281e+01,1.746406173706054688e+01
5.023916244506835938e+00,1.100538134574890137e+00,1.325513744354248047e+01,1.286964130401611328e+01
5.594155788421630859e+00,1.100538134574890137e+00,1.066057682037353516e+01,1.007803535461425781e+01
6.053321361541748047e+00,1.100538134574890137e+00,8.937303543090820312e+00,8.391266822814941406e+00
6.389431953430175781e+00,1.100538134574890137e+00,7.867372512817382812e+00,7.326108932495117188e+00
6.619048118591308594e+00,1.100538134574890137e+00,7.206978321075439453e+00,6.688968658447265625e+00
6.728501319885253906e+00,1.100538134574890137e+00,6.803897380828857422e+00,6.261027336120605469e+00
6.758936405181884766e+00,1.100538134574890137e+00,6.806955337524414062e+00,6.281860828399658203e+00
6.720544338226318359e+00,1.100538134574890137e+00,6.909800052642822266e+00,6.388759136199951172e+00
6.633379936218261719e+00,1.100538134574890137e+00,7.160593509674072266e+00,6.646387100219726562e+00
6.507132530212402344e+00,1.100538134574890137e+00,7.503186225891113281e+00,6.954506397247314453e+00
6.367289543151855469e+00,1.100538134574890137e+00,7.936497211456298828e+00,7.392095088958740234e+00
6.226506710052490234e+00,1.100538134574890137e+00,8.365139007568359375e+00,7.811099052429199219e+00
6.090917110443115234e+00,1.100538134574890137e+00,8.783752441406250000e+00,8.212677955627441406e+00
5.974706172943115234e+00,1.100538134574890137e+00,9.199484825134277344e+00,8.656799316406250000e+00
5.873904705047607422e+00,1.100538134574890137e+00,9.544125556945800781e+00,9.006798744201660156e+00
5.795266151428222656e+00,1.100538134574890137e+00,9.834926605224609375e+00,9.304176330566406250e+00
5.736315250396728516e+00,1.100538134574890137e+00,1.006193161010742188e+01,9.522134780883789062e+00
5.696572780609130859e+00,1.100538134574890137e+00,1.020104598999023438e+01,9.667680740356445312e+00
5.656792163848876953e+00,1.100538134574890137e+00,1.037207698822021484e+01,9.818530082702636719e+00
5.586441993713378906e+00,1.100538134574890137e+00,1.070305919647216797e+01,1.010465049743652344e+01
5.469327449798583984e+00,1.100538134574890137e+00,1.113984870910644531e+01,1.065537261962890625e+01
5.336990833282470703e+00,1.100538134574890137e+00,1.169677448272705078e+01,1.118727397918701172e+01
2.065594911575317383e+00,1.198712706565856934e+00,6.497798156738281250e+01,8.027737426757812500e+01
2.621436595916748047e+00,1.198712706565856934e+00,4.384497451782226562e+01,5.148559188842773438e+01
3.171893596649169922e+00,1.198712706565856934e+00,3.130343246459960938e+01,3.471233367919921875e+01
3.684612274169921875e+00,1.198712706565856934e+00,2.383242225646972656e+01,2.524452972412109375e+01
4.034005165100097656e+00,1.198712706565856934e+00,2.019291114807128906e+01,2.085790252685546875e+01
4.349015712738037109e+00,1.198712706565856934e+00,1.753367614746093750e+01,1.773070716857910156e+01
4.564235210418701172e+00,1.198712706565856934e+00,1.597695159912109375e+01,1.594218444824218750e+01
4.688392162322998047e+00,1.198712706565856934e+00,1.521606445312500000e+01,1.501459026336669922e+01
4.741567611694335938e+00,1.198712706565856934e+00,1.485505676269531250e+01,1.467986488342285156e+01
4.735103607177734375e+00,1.198712706565856934e+00,1.489046096801757812e+01,1.472168540954589844e+01
4.685479640960693359e+00,1.198712706565856934e+00,1.523598098754882812e+01,1.505462265014648438e+01
4.607369899749755859e+00,1.198712706565856934e+00,1.574806499481201172e+01,1.560937023162841797e+01
4.519956111907958984e+00,1.198712706565856934e+00,1.631311035156250000e+01,1.628622627258300781e+01
4.431136608123779297e+00,1.198712706565856934e+00,1.692656517028808594e+01,1.702064704895019531e+01
4.347492218017578125e+00,1.198712706565856934e+00,1.754287910461425781e+01,1.774309539794921875e+01
4.274004459381103516e+00,1.198712706565856934e+00,1.812942504882812500e+01,1.840933609008789062e+01
4.211313247680664062e+00,1.198712706565856934e+00,1.867168998718261719e+01,1.894572067260742188e+01
4.175143718719482422e+00,1.198712706565856934e+00,1.891716384887695312e+01,1.936493492126464844e+01
4.138039588928222656e+00,1.198712706565856934e+00,1.928705978393554688e+01,1.968774414062500000e+01
4.099953174591064453e+00,1.198712706565856934e+00,1.957172966003417969e+01,2.014164733886718750e+01
4.033090591430664062e+00,1.198712706565856934e+00,2.019893264770507812e+01,2.086707687377929688e+01
3.933082103729248047e+00,1.198712706565856934e+00,2.113950538635253906e+01,2.201881217956542969e+01
1.241979598999023438e+00,1.296887516975402832e+00,1.597947540283203125e+02,2.333255462646484375e+02
1.630030870437622070e+00,1.296887516975402832e+00,9.716915893554687500e+01,1.285536346435546875e+02
2.119267225265502930e+00,1.296887516975402832e+00,6.282192230224609375e+01,7.831819915771484375e+01
2.491869926452636719e+00,1.296887516975402832e+00,4.793371200561523438e+01,5.688783264160156250e+01
2.836570501327514648e+00,1.296887516975402832e+00,3.799845123291015625e+01,4.373864364624023438e+01
3.039829730987548828e+00,1.296887516975402832e+00,3.375583648681640625e+01,3.780184173583984375e+01
3.199874401092529297e+00,1.296887516975402832e+00,3.082254409790039062e+01,3.404466629028320312e+01
3.299721479415893555e+00,1.296887516975402832e+00,2.908014106750488281e+01,3.192726707458496094e+01
3.329371929168701172e+00,1.296887516975402832e+00,2.869718933105468750e+01,3.129426002502441406e+01
3.319767713546752930e+00,1.296887516975402832e+00,2.879200553894042969e+01,3.151905059814453125e+01
3.278329610824584961e+00,1.296887516975402832e+00,2.946461486816406250e+01,3.230303955078125000e+01
3.226513147354125977e+00,1.296887516975402832e+00,3.029980278015136719e+01,3.352451705932617188e+01
3.169450998306274414e+00,1.296887516975402832e+00,3.132961463928222656e+01,3.477463531494140625e+01
3.121660709381103516e+00,1.296887516975402832e+00,3.221019363403320312e+01,3.582933044433593750e+01
3.087038516998291016e+00,1.296887516975402832e+00,3.280708312988281250e+01,3.671188354492187500e+01
3.057549953460693359e+00,1.296887516975402832e+00,3.334017944335937500e+01,3.742422485351562500e+01
3.022279977798461914e+00,1.296887516975402832e+00,3.414713287353515625e+01,3.817746734619140625e+01
2.986557960510253906e+00,1.296887516975402832e+00,3.472303009033203125e+01,3.925667190551757812e+01
2.934492349624633789e+00,1.296887516975402832e+00,3.588478088378906250e+01,4.054521560668945312e+01
2.849501371383666992e+00,1.296887516975402832e+00,3.772315216064453125e+01,4.324885940551757812e+01
2.805805921554565430e+00,1.296887516975402832e+00,3.881879806518554688e+01,4.464807891845703125e+01
7.995131611824035645e-01,1.395061492919921875e+00,3.396612854003906250e+02,5.133158569335937500e+02
1.337016820907592773e+00,1.395061492919921875e+00,1.126007232666015625e+02,1.639743957519531250e+02
1.616113305091857910e+00,1.395061492919921875e+00,9.649532318115234375e+01,1.310793609619140625e+02
2.078395366668701172e+00,1.395061492919921875e+00,6.161908340454101562e+01,7.624683380126953125e+01
2.199552774429321289e+00,1.395061492919921875e+00,5.918513488769531250e+01,7.323595428466796875e+01
2.266968250274658203e+00,1.395061492919921875e+00,5.629825210571289062e+01,6.901146697998046875e+01
2.298338413238525391e+00,1.395061492919921875e+00,5.487978744506835938e+01,6.724728393554687500e+01
2.302703619003295898e+00,1.395061492919921875e+00,5.471346664428710938e+01,6.696816253662109375e+01
2.295100212097167969e+00,1.395061492919921875e+00,5.500198745727539062e+01,6.742482757568359375e+01
2.281636238098144531e+00,1.395061492919921875e+00,5.558354949951171875e+01,6.819818115234375000e+01
2.262558937072753906e+00,1.395061492919921875e+00,5.650251388549804688e+01,6.919984436035156250e+01
2.239597320556640625e+00,1.395061492919921875e+00,5.748607254028320312e+01,7.056444549560546875e+01
2.208864688873291016e+00,1.395061492919921875e+00,5.871998596191406250e+01,7.266590118408203125e+01
2.160720348358154297e+00,1.395061492919921875e+00,6.099916839599609375e+01,7.565901947021484375e+01
2.102487564086914062e+00,1.395061492919921875e+00,6.357918167114257812e+01,7.893720245361328125e+01
8.224830031394958496e-01,1.493236899375915527e+00,3.199540100097656250e+02,4.611973876953125000e+02
1.208102226257324219e+00,1.493236899375915527e+00,1.677284545898437500e+02,2.465405273437500000e+02
1.356904983520507812e+00,1.493236899375915527e+00,1.158786468505859375e+02,1.673491516113281250e+02
1.522269368171691895e+00,1.493236899375915527e+00,1.017940979003906250e+02,1.378925781250000000e+02
1.574386835098266602e+00,1.493236899375915527e+00,9.947392272949218750e+01,1.357625427246093750e+02
1.598512411117553711e+00,1.493236899375915527e+00,9.766468811035156250e+01,1.335773773193359375e+02
1.601113557815551758e+00,1.493236899375915527e+00,9.745392608642578125e+01,1.332623901367187500e+02
1.588429450988769531e+00,1.493236899375915527e+00,9.840839385986328125e+01,1.345247955322265625e+02
1.565799713134765625e+00,1.493236899375915527e+00,9.662985229492187500e+01,1.318236236572265625e+02
1.532688856124877930e+00,1.493236899375915527e+00,1.014291534423828125e+02,1.377957611083984375e+02
7.020121812820434570e-01,1.591411471366882324e+00,3.405393676757812500e+02,5.165120849609375000e+02
8.336505889892578125e-01,1.591411471366882324e+00,3.194737548828125000e+02,4.873224792480468750e+02
9.241369366645812988e-01,1.591411471366882324e+00,2.478347930908203125e+02,3.770210266113281250e+02
9.796586632728576660e-01,1.591411471366882324e+00,2.239685058593750000e+02,3.395274047851562500e+02
1.013522624969482422e+00,1.591411471366882324e+00,2.181506805419921875e+02,3.302565002441406250e+02
1.085995435714721680e+00,1.591411471366882324e+00,1.986582336425781250e+02,2.983883972167968750e+02
8.631836891174316406e+00,1.643031120300292969e+00,2.684310436248779297e+00,2.591162919998168945e+00
8.028887748718261719e+00,1.643031120300292969e+00,3.893922328948974609e+00,3.642664909362792969e+00
7.558674335479736328e+00,1.643031120300292969e+00,4.848113059997558594e+00,4.482936859130859375e+00
7.326704978942871094e+00,1.643031120300292969e+00,5.384814262390136719e+00,4.952592372894287109e+00
7.541068553924560547e+00,1.643031120300292969e+00,4.936034202575683594e+00,4.590528011322021484e+00
9.146676063537597656e+00,1.843156337738037109e+00,1.590678095817565918e+00,1.611807942390441895e+00
7.553418159484863281e+00,1.843156337738037109e+00,4.896459102630615234e+00,4.555967807769775391e+00
6.847741127014160156e+00,1.843156337738037109e+00,6.584865093231201172e+00,6.075109004974365234e+00
6.197956562042236328e+00,1.843156337738037109e+00,8.453695297241210938e+00,7.899691104888916016e+00
5.645738601684570312e+00,1.843156337738037109e+00,1.043131828308105469e+01,9.900056838989257812e+00
5.198230266571044922e+00,1.843156337738037109e+00,1.236652183532714844e+01,1.193693447113037109e+01
4.928057670593261719e+00,1.843156337738037109e+00,1.378713512420654297e+01,1.343934440612792969e+01
4.982079982757568359e+00,1.843156337738037109e+00,1.347006893157958984e+01,1.315149402618408203e+01
7.820215225219726562e+00,2.043280363082885742e+00,4.166892051696777344e+00,3.857229232788085938e+00
7.052735805511474609e+00,2.043280363082885742e+00,6.066232204437255859e+00,5.594891548156738281e+00
6.318560600280761719e+00,2.043280363082885742e+00,8.052459716796875000e+00,7.469089984893798828e+00
5.641355514526367188e+00,2.043280363082885742e+00,1.044927787780761719e+01,9.919503211975097656e+00
5.016036987304687500e+00,2.043280363082885742e+00,1.330458354949951172e+01,1.290605735778808594e+01
4.487789154052734375e+00,2.043280363082885742e+00,1.650277137756347656e+01,1.654782485961914062e+01
3.993829965591430664e+00,2.043280363082885742e+00,2.057247924804687500e+01,2.128509712219238281e+01
3.644980192184448242e+00,2.043280363082885742e+00,2.436095809936523438e+01,2.576330947875976562e+01
3.358870983123779297e+00,2.043280363082885742e+00,2.823548126220703125e+01,3.072061538696289062e+01
3.328244686126708984e+00,2.043280363082885742e+00,2.870654296875000000e+01,3.132880210876464844e+01
7.639373302459716797e+00,2.243404865264892578e+00,4.688257694244384766e+00,4.349165439605712891e+00
6.885735988616943359e+00,2.243404865264892578e+00,6.485947608947753906e+00,5.986995220184326172e+00
6.151749610900878906e+00,2.243404865264892578e+00,8.577473640441894531e+00,7.987998962402343750e+00
5.477706432342529297e+00,2.243404865264892578e+00,1.111197090148925781e+01,1.062562942504882812e+01
4.854494094848632812e+00,2.243404865264892578e+00,1.420204257965087891e+01,1.387970542907714844e+01
4.295951366424560547e+00,2.243404865264892578e+00,1.797825813293457031e+01,1.815664482116699219e+01
3.791531085968017578e+00,2.243404865264892578e+00,2.262965202331542969e+01,2.377906799316406250e+01
