x,m,v_x,v_y
5.975168228149414062e+00,9.041898846626281738e-01,2.602164506912231445e+00,1.383848071098327637e+00
7.189945697784423828e+00,9.041898846626281738e-01,2.124843597412109375e+00,1.304810762405395508e+00
4.197926521301269531e+00,1.002363920211791992e+00,7.847948074340820312e+00,3.691884279251098633e+00
4.988258838653564453e+00,1.002363920211791992e+00,4.670042037963867188e+00,2.154617786407470703e+00
6.258867740631103516e+00,1.002363920211791992e+00,2.438868522644042969e+00,1.327153682708740234e+00
7.255113601684570312e+00,1.002363920211791992e+00,2.061526536941528320e+00,1.295100331306457520e+00
8.222985267639160156e+00,1.002363920211791992e+00,2.196518480777740479e-01,1.836286038160324097e-01
8.344403266906738281e+00,1.002363920211791992e+00,1.856468170881271362e-01,2.005463838577270508e-01
8.286392211914062500e+00,1.002363920211791992e+00,2.180947810411453247e-01,2.157708257436752319e-01
8.241833686828613281e+00,1.002363920211791992e+00,2.382182627916336060e-01,2.218947857618331909e-01
8.143813133239746094e+00,1.002363920211791992e+00,2.783813774585723877e-01,2.325207740068435669e-01
8.327554702758789062e+00,1.002363920211791992e+00,2.390230000019073486e-01,1.981056183576583862e-01
8.389216423034667969e+00,1.002363920211791992e+00,2.257863432168960571e-01,1.885340660810470581e-01
2.374279737472534180e+00,1.100538134574890137e+00,2.856157493591308594e+01,1.549938392639160156e+01
2.953446865081787109e+00,1.100538134574890137e+00,1.888764190673828125e+01,9.911020278930664062e+00
3.697404861450195312e+00,1.100538134574890137e+00,1.072396469116210938e+01,5.361507415771484375e+00
4.371557712554931641e+00,1.100538134574890137e+00,7.038777828216552734e+00,3.230041980743408203e+00
5.015609741210937500e+00,1.100538134574890137e+00,4.545703411102294922e+00,2.100735902786254883e+00
5.805109024047851562e+00,1.100538134574890137e+00,2.687215089797973633e+00,1.442765712738037109e+00
6.296361923217773438e+00,1.100538134574890137e+00,2.500929594039916992e+00,1.369279265403747559e+00
6.711637496948242188e+00,1.100538134574890137e+00,2.277019262313842773e+00,1.333365678787231445e+00
6.952157020568847656e+00,1.100538134574890137e+00,2.239348411560058594e+00,1.367351412773132324e+00
7.052936553955078125e+00,1.100538134574890137e+00,2.196245908737182617e+00,1.357253193855285645e+00
7.071746826171875000e+00,1.100538134574890137e+00,2.188093900680541992e+00,1.352042675018310547e+00
7.039086341857910156e+00,1.100538134574890137e+00,2.198014020919799805e+00,1.357735157012939453e+00
6.954532623291015625e+00,1.100538134574890137e+00,2.238234519958496094e+00,1.367283105850219727e+00
6.827064037322998047e+00,1.100538134574890137e+00,2.218180656433105469e+00,1.328575968742370605e+00
