x,m,v_x,v_y
1.920501589775085449e+00,1.198712706565856934e+00,3.699717712402343750e+01,2.225844764709472656e+01
1.056862235069274902e+00,1.296887516975402832e+00,1.293173065185546875e+02,9.754008483886718750e+01
1.461936712265014648e+00,1.296887516975402832e+00,7.163050079345703125e+01,4.573598098754882812e+01
1.962813854217529297e+00,1.296887516975402832e+00,3.206958389282226562e+01,1.926265144348144531e+01
7.329666614532470703e-01,1.395061492919921875e+00,4.152954101562500000e+02,4.267376403808593750e+02
9.091287851333618164e-01,1.395061492919921875e+00,2.725461730957031250e+02,2.401016693115234375e+02
1.160697221755981445e+00,1.395061492919921875e+00,1.425226135253906250e+02,1.048335800170898438e+02
1.436366677284240723e+00,1.395061492919921875e+00,8.565027618408203125e+01,5.553696823120117188e+01
1.714665770530700684e+00,1.395061492919921875e+00,5.528635025024414062e+01,3.356494522094726562e+01
1.936630725860595703e+00,1.395061492919921875e+00,4.127216308593750000e+03,2.485713623046875000e+03
1.986669182777404785e+00,1.395061492919921875e+00,3.187711906433105469e+01,1.931960487365722656e+01
1.932365298271179199e+00,1.395061492919921875e+00,5.057881835937500000e+03,3.046239013671875000e+03
1.825962543487548828e+00,1.395061492919921875e+00,1.947867202758789062e+01,1.158442401885986328e+01
6.143479943275451660e-01,1.493236899375915527e+00,5.523041381835937500e+02,6.188436889648437500e+02
7.700201272964477539e-01,1.493236899375915527e+00,3.954942321777343750e+02,3.967489624023437500e+02
9.137691855430603027e-01,1.493236899375915527e+00,1.541766662597656250e+02,1.351055297851562500e+02
1.044897198677062988e+00,1.493236899375915527e+00,2.501223144531250000e+02,1.989583892822265625e+02
1.178431630134582520e+00,1.493236899375915527e+00,1.477880401611328125e+02,1.075833969116210938e+02
1.255506515502929688e+00,1.493236899375915527e+00,9.544144439697265625e+01,6.594056701660156250e+01
1.334741592407226562e+00,1.493236899375915527e+00,1.065635147094726562e+02,7.191609954833984375e+01
1.382496833801269531e+00,1.493236899375915527e+00,9.444137573242187500e+01,6.265881347656250000e+01
1.403046250343322754e+00,1.493236899375915527e+00,9.395435333251953125e+01,6.175600051879882812e+01
1.403733968734741211e+00,1.493236899375915527e+00,9.557022094726562500e+01,6.277603912353515625e+01
1.386835098266601562e+00,1.493236899375915527e+00,9.583327484130859375e+01,6.312298583984375000e+01
1.370835423469543457e+00,1.493236899375915527e+00,9.047597503662109375e+01,6.045233535766601562e+01
1.332512021064758301e+00,1.493236899375915527e+00,1.057722549438476562e+02,7.127005004882812500e+01
