x,m,v_x,v_y
4.018777847290039062e+00,1.002363920211791992e+00,1.595224094390869141e+01,1.705765533447265625e+01
4.774996757507324219e+00,1.002363920211791992e+00,7.822504043579101562e+00,8.385817527770996094e+00
2.428800106048583984e+00,1.100538134574890137e+00,4.966886520385742188e+01,5.906932067871093750e+01
2.931572437286376953e+00,1.100538134574890137e+00,3.493785858154296875e+01,3.921355056762695312e+01
3.586969375610351562e+00,1.100538134574890137e+00,2.266215324401855469e+01,2.453211402893066406e+01
4.254502296447753906e+00,1.100538134574890137e+00,1.373415184020996094e+01,1.489964962005615234e+01
4.806193351745605469e+00,1.100538134574890137e+00,7.568438053131103516e+00,8.148056030273437500e+00
5.013604640960693359e+00,1.100538134574890137e+00,5.313282489776611328e+00,5.530102252960205078e+00
2.039858341217041016e+00,1.198712706565856934e+00,6.811933898925781250e+01,8.470420074462890625e+01
2.611491680145263672e+00,1.198712706565856934e+00,4.366339111328125000e+01,5.099842453002929688e+01
3.143075704574584961e+00,1.198712706565856934e+00,3.041190910339355469e+01,3.393061065673828125e+01
3.607890129089355469e+00,1.198712706565856934e+00,2.273504257202148438e+01,2.465952301025390625e+01
3.940026998519897461e+00,1.198712706565856934e+00,1.713239479064941406e+01,1.846753311157226562e+01
4.231166839599609375e+00,1.198712706565856934e+00,1.404931449890136719e+01,1.524352931976318359e+01
4.411833763122558594e+00,1.198712706565856934e+00,1.155808639526367188e+01,1.237009429931640625e+01
4.540796756744384766e+00,1.198712706565856934e+00,1.049935913085937500e+01,1.151085853576660156e+01
4.585117816925048828e+00,1.198712706565856934e+00,1.019329738616943359e+01,1.121000003814697266e+01
4.580306529998779297e+00,1.198712706565856934e+00,1.021727371215820312e+01,1.124692821502685547e+01
4.535101890563964844e+00,1.198712706565856934e+00,1.052635765075683594e+01,1.151815223693847656e+01
4.456294059753417969e+00,1.198712706565856934e+00,1.125812435150146484e+01,1.211158084869384766e+01
4.376837730407714844e+00,1.198712706565856934e+00,1.210342979431152344e+01,1.299610424041748047e+01
4.304310798645019531e+00,1.198712706565856934e+00,1.319213867187500000e+01,1.434341812133789062e+01
4.227979660034179688e+00,1.198712706565856934e+00,1.407686138153076172e+01,1.526482009887695312e+01
4.157642841339111328e+00,1.198712706565856934e+00,1.468432617187500000e+01,1.580142498016357422e+01
